,#EventID,Time,Latitude,Longitude,Depth/km,Author,Catalog,Contributor,ContributorID,MagType,Magnitude,MagAuthor,EventLocationName,EventType
1223,gfz2025qcar,2025-08-17T19:11:03.82,34.477,7.431,10.0,,,GFZ,gfz2025qcar,Mw,5.19,,Northern Algeria,
1224,gfz2025qcaq,2025-08-17T19:09:40.65,-22.701,-66.35,233.3,,,GFZ,gfz2025qcaq,mb,5.1,,"Jujuy Province, Argentina",
1225,gfz2025qbzn,2025-08-17T18:35:40.07,-6.144,151.594,10.0,,,GFZ,gfz2025qbzn,mb,5.08,,"New Britain Region, Papua New Guinea",
1226,gfz2025qbvw,2025-08-17T16:45:13.91,-21.177,-67.67,198.4,,,GFZ,gfz2025qbvw,mb,3.98,,Chile-Bolivia Border Region,
1227,gfz2025qbtk,2025-08-17T15:31:16.46,2.124,127.03,10.0,,,GFZ,gfz2025qbtk,mb,5.08,,Northern Molucca Sea,
1228,gfz2025qbsm,2025-08-17T15:03:11.73,2.102,127.054,10.0,,,GFZ,gfz2025qbsm,Mw,5.33,,Northern Molucca Sea,
1229,gfz2025qbqk,2025-08-17T13:59:21.34,50.53,159.704,10.0,,,GFZ,gfz2025qbqk,mb,4.71,,East of Kuril Islands,
1230,gfz2025qbgo,2025-08-17T09:01:20.6,-47.881,116.119,10.0,,,GFZ,gfz2025qbgo,mb,5.04,,Western Indian-Antarctic Ridge,
1231,gfz2025qbao,2025-08-17T05:59:53.08,13.362,-90.885,18.0,,,GFZ,gfz2025qbao,Mw,5.28,,Near Coast of Guatemala,
1232,gfz2025qayv,2025-08-17T05:06:25.56,-14.895,167.436,135.2,,,GFZ,gfz2025qayv,Mw,4.96,,Vanuatu Islands,
1233,gfz2025qavs,2025-08-17T03:32:39.86,52.69,158.905,59.7,,,GFZ,gfz2025qavs,mb,4.75,,Near East Coast of Kamchatka,
1234,gfz2025qapm,2025-08-17T00:24:12.13,4.226,62.746,18.0,,,GFZ,gfz2025qapm,Mw,5.0,,Carlsberg Ridge,
1235,gfz2025qamm,2025-08-16T22:52:09.57,-24.436,-175.796,25.0,,,GFZ,gfz2025qamm,Mw,5.49,,South of Tonga Islands,
1236,gfz2025qaml,2025-08-16T22:51:28.63,21.071,119.984,10.0,,,GFZ,gfz2025qaml,mb,5.32,,Taiwan Region,
1237,gfz2025qama,2025-08-16T22:38:52.94,-1.272,120.7,18.0,,,GFZ,gfz2025qama,Mw,5.78,,"Sulawesi, Indonesia",
1238,gfz2025qajf,2025-08-16T21:13:14.82,32.098,131.71,31.0,,,GFZ,gfz2025qajf,Mw,5.5,,"Kyushu, Japan",
1239,gfz2025qahy,2025-08-16T20:35:41.68,13.739,120.8,136.7,,,GFZ,gfz2025qahy,mb,5.02,,"Mindoro, Philippines",
1240,gfz2025qaca,2025-08-16T17:35:08.13,37.083,71.549,110.9,,,GFZ,gfz2025qaca,mb,4.72,,Afghanistan-Tajikistan Border Region,
1241,gfz2025pzzv,2025-08-16T16:28:39.78,37.657,-17.995,10.0,,,GFZ,gfz2025pzzv,mb,5.02,,Azores-Cape St. Vincent Ridge,
1242,gfz2025pzyw,2025-08-16T15:59:22.75,49.182,156.199,30.0,,,GFZ,gfz2025pzyw,mb,5.17,,Kuril Islands,
1243,gfz2025pzyo,2025-08-16T15:51:13.74,49.229,156.164,30.0,,,GFZ,gfz2025pzyo,mb,5.35,,Kuril Islands,
1244,gfz2025pzui,2025-08-16T13:42:49.13,49.336,155.437,30.0,,,GFZ,gfz2025pzui,mb,4.88,,Kuril Islands,
1245,gfz2025pzrf,2025-08-16T12:08:24.38,-23.089,170.854,10.0,,,GFZ,gfz2025pzrf,Mw,5.59,,Southeast of Loyalty Islands,
1246,gfz2025pzoo,2025-08-16T10:47:05.09,-0.369,-78.158,10.0,,,GFZ,gfz2025pzoo,mb,4.85,,Ecuador,
1247,gfz2025pzjs,2025-08-16T08:20:43.12,50.375,156.566,68.4,,,GFZ,gfz2025pzjs,mb,4.85,,Kuril Islands,
1248,gfz2025pzjf,2025-08-16T08:05:36.78,-38.972,78.273,10.0,,,GFZ,gfz2025pzjf,Mw,5.36,,Mid-Indian Ridge,
1249,gfz2025pzez,2025-08-16T05:57:00.8,50.046,158.462,31.0,,,GFZ,gfz2025pzez,mb,4.79,,East of Kuril Islands,
